Experiment ID ,Crab ID,Date,Egg Development Stage ,Pleopod Number,Total number of eggs,Number viable crab eggs,Number popped crab eggs,Number of Adult Copepods,Number of Juvenile Copepods,Size of Copepods ,Number of Copepod Eggs,Number of Nemerteans,Photo/Video Name,Investigator,QA Checkoff Person 1,QA Checkoff Person 2,,Water Temperature
Autoinfecton-186,ANT-GAV-009.2,06/10/2022,I,2,1346,1309,37,13,0,"0.24mm, 0.23mm, 0.21mm, 0.20mm, 0.21mm",323,2,https://drive.google.com/file/d/1bAhP8ecISgaWf9nW1CvnsGQxKaf9TibX/view?usp=sharing,,"CG, 1/22/23","SL, 1/29/23",,
Autoinfection-187,ANT-GAV-003.2,06/10/2022,B,2,1201,1191,10,0,171,"0.43mm, 0.45mm, 0.44mm, 0.48mm, 0.51mm",0,0,https://drive.google.com/file/d/1gh0ojCweVXW-VaRY7SlI0vdvQngBJljN/view?usp=sharing,,"CG, 1/22/23","SL, 1/29/23",,
Autoinfection-188,ANT-GAV-014.2,06/10/2022,E,2,1173,1161,12,17,0,"0.27mm, 0.30mm, 0.26mm, 0.32mm, 0.31mm",3,0,https://drive.google.com/file/d/1ASSbo0tWxJRSggVFN-MMvmW_Uug7xoGK/view?usp=sharing,,"CG, 1/22/23","SL, 1/29/23",,
Autoinfection-189,ANT-GAV-008.2,06/10/2022,A,2,1103,1103,0,0,7,"0.30mm, 0.31mm, 0.26mm, 0.28mm, 0.26mm",0,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-190,ANT-GAV-008.2,06/11/2022,B,2,1023,1014,9,0,10,"0.32mm, 0.34mm, 0.32mm, 0.51mm",0,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-191,ANT-GAV-009.2,06/12/2022,J,2,1019,995,24,4,0,"0.41mm, 0.39mm, 0.38mm, 0.42mm, 0.44mm",222,5,,,"SL, 1/17/24","CG, 10/25/22",,
Autoinfection-192,ANT-GAV-003.2,06/13/2022,D,2,1255,1209,46,0,11,"0.45mm, 0.44mm, 0.50mm, 0.48mm, 0.47mm",0,0,https://drive.google.com/file/d/1aqH3SaDCKtajLaoyRoYQpXVYCJRCVQeS/view?usp=sharing,,"CG, 1/22/23","SL, 1/29/23",,
Autoinfection-193,ANT-GAV-014.2,06/13/2022,E,2,1204,1186,18,25,0,NA,212,0,https://drive.google.com/file/d/1bP3dG2_SIMYfj2JIeXoEr24EdM3HNani/view?usp=sharing,,"CG, 1/22/23","SL, 1/29/23",,
Autoinfection-194,ANT-GAV-008.2,06/14/2022,C,2,1579,1574,5,0,0,"Adult: 0.50mm, Juveniles: 0.31mm, 0.44mm, 0.45mm, 0.32mm",0,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-195,ANT-GAV-009.2,06/15/2022,K,2,1176,1164,12,1,286,"Juveniles: 0.33mm, 0.29mm, 0.37mm, 0.31mm, 0.37mm",196,0,https://drive.google.com/file/d/1L6JzNaC1OndpWb8zvEOnuVXwMlHm4btg/view?usp=sharing,,"SL, 1/29/23","CG, 1/22/23",,
Autoinfection-196,ANT-GAV-003.2,06/16/2022,D,2,1087,1075,12,0,42,"Adults: 0.42mm, 0.41mm, 0.40mm, 0.41mm, 0.43mm
Juveniles: 0.31mm, 0.33mm",0,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-197,ANT-GAV-014.2,06/16/2022,F,2,1145,1128,17,6,2,"Juveniles: 0.23mm (Copepodid 1), 0.19mm (Copepodid 2) (Could not measure third, to small)",498,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-198,ANT-GAV-009.2,06/18/2022,M,2,1498,715,783,0,3,"Adults: 0.31mm, 0.28mm",0,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-199,ANT-GAV-008.2,06/18/2022,D,2,1023,1004,19,2,0,"Adults: 0.26mm, 0.36mm, 0.38mm, 0.34mm, 0.33mm",0,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-200,ANT-GAV-003.2,06/19/2022,D,2,1100,1080,20,13,0,"Adults: 0.50mm, 0.48mm, 0.43mm, 0.49mm, 0.46mm",67,0,,,"SL, 10/25/22","CG, 10/25/22",,
Autoinfection-202,ANT-GAV-008.2,06/20/2022,D,2,1103,1095,8,13,0,0.51mm,4,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-203,ANT-GAV-009.2,06/20/2022,M,2,1203,0,0,1,0,"0.43mm, 0.30mm, 0.36mm, 0.39mm, 0.30mm",0,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-204,ANT-GAV-007.2,06/21/2022,C,2,1112,1107,5,107,0,"0.45mm, 0.44mm, 0.42mm, 0.45mm,  0.40mm",0,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-205,ANT-GAV-003.2,06/22/2022,D,2,1076,978,98,74,0,"0.43mm, 0.47mm, 0.43mm, 0.49mm, 0.51mm",985,1,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-207,ANT-GAV-007.2,06/24/2022,D,2,1028,994,34,75,0,"0.48mm, 0.46mm, 0.48mm, 0.43mm, 0.41mm",13,0,,,"SL, 1/17/23","CG, 1/12/23",,
Autoinfection-209,ANT-GAV-008.2,06/26/2022,E,2,1120,1092,28,3,0,"0.40mm, 0.45mm, 0.43mm, 0.42mm, 0.36mm",63,0,,,"SL, 1/17/23","CG, 1/12/23",,
Autoinfection-210,ANT-GAV-007.2,06/27/2022,E,2,1033,931,102,72,0,?,207,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-212,ANT-GAV-003.2,06/29/2022,M,2,1013,66,947,6,4,"0.46mm, 0.43mm, 0.43mm, 0.41mm, 0.42mm",920,0,https://drive.google.com/file/d/16Vflw5F0OFg3W5RlZxp-Ei74ATnka2cY/view,,"SL, 1/17/24","CG, 1/12/23","SL, 2/8/23",
Autoinfection-213,ANT-GAV-007.2,06/30/2022,E,2,1329,1195,134,55,0,"Adults: 0.34mm, 0.35mm, 0.32mm, 0.37mm, 0.34mm
Juveniles: 0.07mm, 0.1mm, 0.12mm , 0.04mm, 0.11mm",313,3,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-214,ANT-GAV-003.2,07/01/2022,M,2,1154,123,1031,5,58,"0.35mm,0.44mm,0.42mm",463,1,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-215,ANT-GAV-008.2,07/02/2022,G,2,1222,1195,27,14,0,"Adults: 0.48mm, 0.49mm, 0.50mm, 0.51mm, 0.49mm",150,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-216,ANT-GAV-007.2,07/03/2022,F,2,1475,1258,217,98,0,"0.25mm, 0.29mm, 0.20mm, 0.27mm, 0.21mm",298,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-217,ANT-GAV-003.2,07/04/2022,M,2,1015,44,971,0,195,"0.36mm, 0.37mm, 0.44mm, 0.48mm, 0.41mm",152,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-218,ANT-GAV-008.2,07/06/2022,K,2,1374,1301,73,8,0,"0.40mm, 0.50mm, 0.37mm, 0.42mm, 0.45mm",214,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-219,ANT-GAV-007.2,07/06/2022,L,2,1062,193,869,26,0,NA,1012,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-220,ANT-GAV-003.2,07/07/2022,M,2,1021,37,984,0,0,"Adults: 0.45mm, 0.44mm, 0.47mm
juvenile: 0.40mm, 0.35mm",16,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-221,ANT-GAV-008.2,07/08/2022,L,2,1037,998,39,8,10,"Adults: 0.45mm, 0.50mm, 0.50mm, 0.42mm, 0.48mm",457,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-222,ANT-GAV-007.2,07/09/2022,M,2,1119,600,519,9,0,NA,258,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-223,ANT-GAV-003.2,07/10/2022,M,2,1076,392,684,0,0,"Juvenile: 0.45mm, 0.40mm, 0.42mm, 0.40mm, 0.43mm",0,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-224,ANT-GAV-008.2,07/11/2022,L,2,1027,929,98,0,49,"Juvenile: 0.34mm, 0.31mm, 0.29mm, 0.24mm, 0.37mm",295,1,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-225,ANT-GAV-007.2,07/11/2022,M,2,1092,965,127,0,53,"Juvenile:  0.36mm, 0.34mm, 0.40mm, 0.38mm, 0.42mm",5,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-226,ANT-GAV-003.2,07/13/2022,M,2,1041,425,616,0,56,NA,14,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-227,ANT-GAV-008.2,07/14/2022,L,2,1330,1119,211,0,0,"0.40mm, 0.38mm, 0.24mm, 0.25mm, 0.24mm",314,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-228,ANT-GAV-007.2,07/15/2022,M,2,1054,489,565,0,146,"0.35mm, 0.29mm",161,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-229,ANT-GAV-003.2,07/16/2022,M,2,0,0,0,0,2,"0.21mm, 0.19mm, 0.23mm, 0.32mm, 0.20mm, 0.20mm",19,6,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-230,ANT-GAV-008.2,07/17/2022,L,,1289,966,323,0,45,"0.32mm, 0.29mm, 0.34mm, 0.30mm, 0.33mm",129,2,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-232,ANT-GAV-008.2,07/20/2022,M,2,1058,226,832,0,0,"0.25mm, 0.24mm",55,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-233,ANT-GAV-008.2,07/23/2022,M,2,1117,438,679,0,8,Far too small to measure,57,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-234,ANT-GAV-008.2,07/29/2022,M,,0,0,0,0,8,"Adult: 0.46mm, 0.40mm, 0.39mm
Juvies: 0.24mm, 0.20mm",0,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-235,ANT-GAV-009.3,07/30/2022,E,2,1044,1022,22,9,2,"0.46mm, 0.50mm, 0.47mm, 0.48mm, 0.44mm",39,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-236,ANT-GAV-009.3,8/2/2022,F,2,1031,991,40,22,0,"0.45mm, 0.38mm, 0.39mm, 0.39mm, 0.41mm",500,1,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-237,ANT-GAV-009.3,8/5/2022,G,2,1112,1096,16,19,0,"adults: 0.42mm, 0.43mm, 0.52mm, 0.49mm, 0.46mm",184,2,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-240,ANT-GAV-009.3,8/14/2022,L,2,0,0,0,0,0,"Juvie: 0.36mm, 0.32mm, 0.34mm, 0.40mm, 0.33mm ",0,0,,,"SL, 1/17/24",,,
Autoinfection-241,ANT-GAV-009.3,8/17/2022,L,2,1033,871,162,1,353,"0.34mm, 0.20mm, 0.32mm, 0.28mm",48,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-242,ANT-GAV-010.2,8/18/2022,A,2,1072,1056,16,0,4,"0.30mm, 0.29mm, 0.28mm, 0.28mm, 0.27mm",10,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-243,ANT-GAV-009.3,8/21/2022,M,,0,0,0,0,21,N/A,60,1,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-244,ANT-GAV-010.2,8/21/2022,A,2,1045,1021,24,0,0,"0.30mm, 0.34mm, 0.29mm, 0.32mm, 0.34mm",3,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection-248,ANT-GAV-010.2,08/02/2022,D,2,1096,1032,64,19,1,"Juvie: 0.34mm
Adult: 0.45mm, 0.38mm, 0.30mm, 0.37mm",69,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 250,ANT-GAV-009.4,09/04/2022,A,2,1033,1028,5,0,3,"0.25mm, 0.30mm, 0.31mm",0,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 251,ANT-GAV-010.2,09/05/2022,F,2,1020,732,288,17,0,"0.48mm, 0.49mm, 0.49mm, 0.44mm, 0.54mm",147,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 252,ANT-GAV-009.4,09/07/2022,A,2,1046,1030,16,0,51,"0.18mm, 0.21mm, 0.23mm, 0.19mm, 0.25mm",0,0,,,"SL, 1/17/24","CG, 1/12/23",,
Auto-infection- 254,ANT-GAV-009.4,09/10/2022,B,2,1054,1036,18,0,9,"0.30mm, 0.31mm, 0.29mm, 0.30mm, 0.33mm",4,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 255,ANT-GAV-010.2,09/11/2022,I,2,1176,1073,103,6,0,"0.41mm, 0.47mm, 0.49mm, 0.44mm, 0.50mm",72,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 259,ANT-GAV-010.2,09/17/2022,M,2,1041,565,476,1,265,"Juveniles: 0.30mm, 0.29mm, 0.30mm, 0.27mm
Adult: 0.50mm",107,0,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 261,ANT-GAV-009.4,09/22/2022,G,6,1023,905,118,18,0,"0.47mm, 0.49mm, 0.34mm, 0.42mm, 0.40mm ",189,1,,,"SL, 1/17/24","CG, 1/12/23",,
Autoinfection- 262,ANT-GAV-009.4,09/25/2022,I,6,1052,920,132,4,0,"0.49mm, 0.55mm, 0.50mm, 0.42mm",163,0,,,"SL, 1/17/24","CG, 1/12/23",,
