Experiment ID,Crab ID,Date,EDS,Pleopod Number,Total Number Crab Eggs,Number Viable Crab Eggs,Number Damaged Crab Eggs,Number Stunted Crab Eggs,Total Number Non-Viable Crab Eggs,Number Adult Nicos,Number Juvenile Nicos,Number Nico Eggs,Number of Nemerteans,Water Temperature,Images,Initials,Notes
Mortality-076,ANT-GAV-043,02/26/2023,I,1,1084,1069,7,8,15,1,0,22,1,14,"ANT-GAV-043_Mortality-076_02262023_1_20_JO
ANT-GAV-043_Mortality-076_02262023_2_12_JO",JO,-overall the eggs look really healthy and there is not much damage
Mortality-077,ANT-GAV-043,02/26/2023,J,7,1577,1512,41,24,65,0,4,32,5,14,"ANT-GAV-048_Mortality-077_02262023_1_45_JO
ANT-GAV-048_Mortality-077_02262023_2_45_JO
ANT-GAV-048_Mortality-077_02262023_3_25_JO",JO,"-overall the eggs look really healthy and there is not much damage
-there are more nemerteans than normal"
Mortality-078,ANT-GAV-049,02/26/2023,F,3,2006,1997,5,4,9,4,2,39,0,14,ANT-GAV-049_Mortality-078_02262023_1_15_JO,JO,-overall the eggs look healthy but it is really early in development and there might be more nicos soon 
Mortality-079,ANT-GAV-044,02/27/2023,K,8,1450,1423,21,6,27,0,11,6,0,12,ANT-GAV-044_Mortality-079_02272023_1_12_JO,JO,-the eggs look healthy and will be hatching soon
Mortality-080,ANT-GAV-046,02/27/2023,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"ANT-GAV-046_Mortality-080_02272023_1_12_JO
ANT-GAV-046_Mortality-080_02272023_2_35_JO",JO,-pictures of what normal empty eggs look like for comparison to 045
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,ANT-GAV-044_Mortality-079_02272023_1_12_JO,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,#REF!,#REF!,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
,,,,,,,,,0,,,,,,,,
